Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,lootedart.com,erroneous provenance (artwork),erroneous provenance (artwork),,
https://itsartlaw.org/2018/10/15/framing-provenance-with-pissarros-pea-harvest/,Framing Provenance with Pissarro’s “Pea Harvest”,2018-10-15T00:00:00Z,news article,Event,,erroneous provenance (artwork),erroneous provenance (artwork),,
https://itsartlaw.org/2018/10/15/framing-provenance-with-pissarros-pea-harvest/,Framing Provenance with Pissarro’s “Pea Harvest”,2018-10-15T00:00:00Z,news article,Event,,Christie's,erroneous provenance (artwork),,
https://lootedart.com/news.php?r=SJERNJ892281,Die Geschichte eines gestohlenen Bildes - The history of a stolen painting,2017-07-09T00:00:00Z,news article,Event,Die Welt,Victor David Spark,erroneous provenance (artwork),,
https://www.wsj.com/articles/museum-of-modern-art-returns-painting-to-heirs-of-jewish-collector-1447715089,Museum of Modern Art Returns Painting to Heirs of Man Who Fled Nazis,2015-11-16T00:00:00Z,news article,Event,The Wall Street Journal,erroneous provenance (artwork),erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,Amedeo Modigliani,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,erroneous provenance (artwork),erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,erroneous provenance (artwork),erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,Klaus Perls,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,Gloria Vanderbilt,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,Woman's Head,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,art forgery,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Klaus Perls,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Gloria Vanderbilt,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Woman's Head,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,art forgery,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,Klaus Perls,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,news article,Event,Spy,Gloria Vanderbilt,erroneous provenance (artwork),,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,Amedeo Modigliani,erroneous provenance (artwork),,
