creator,creatorLabel,creatorDescription,imagecreator
http://www.wikidata.org/entity/Q1038930,Carl Hummel,German painter (1821-1907),
http://www.wikidata.org/entity/Q1855242,Alessandro Longhi,Italian painter and engraver (1733-1813),http://commons.wikimedia.org/wiki/Special:FilePath/Accademia%20-%20Painting%20and%20Merit%20by%20Alessandro%20Longhi.jpg
http://www.wikidata.org/entity/Q1480646,Matthias Rudolf Toma,Austrian painter and lithographer (1792-1869),
http://www.wikidata.org/entity/Q3336784,Nathaniel Dance-Holland,English portrait painter and politician (1735-1811),http://commons.wikimedia.org/wiki/Special:FilePath/Nathaniel%20Dance%20%28Sir%20Nathaniel%20Dance-Holland%2C%20Bt%29%20by%20Nathaniel%20Dance%2C%20%28later%20Sir%20Nathaniel%20Dance-Holland%2C%20Bt%29.jpg
http://www.wikidata.org/entity/Q879198,Gotthardt Kuehl,German painter (1850–1915),http://commons.wikimedia.org/wiki/Special:FilePath/WP%20Gotthardt%20Kuehl.jpg
http://www.wikidata.org/entity/Q638391,Johann Sebastian Bach,"German painter, grandson of the composer",http://commons.wikimedia.org/wiki/Special:FilePath/ISBACH.jpg
http://www.wikidata.org/entity/Q22668412,Charles Brias,"Flemish artist, 1798-1884",http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Brias%20%281846%29.jpg
http://www.wikidata.org/entity/Q23692162,Ludwig Voltz,German animal and landscape painter (1825-1911),
http://www.wikidata.org/entity/Q939699,Vincent Sellaer,flemish painter (c.1490-c.1564),
http://www.wikidata.org/entity/Q696720,Daniel Nikolaus Chodowiecki,German painter and printmaker,http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Friedrich%20Erdmann%20von%20Menzel%20018.jpg
http://www.wikidata.org/entity/Q1471196,Karl Hagemeister,German painter (1848-1933),http://commons.wikimedia.org/wiki/Special:FilePath/Schuch%20Bildnis%20Karl%20Hagemeister%20%281%29.JPG
http://www.wikidata.org/entity/Q2087143,Philipp Röth,German painter (1841-1921),
http://www.wikidata.org/entity/Q38922692,Michael Lueger,"German artist, 1804-1883",
http://www.wikidata.org/.well-known/genid/a3bbf2afddc30577eb2d8fcef31435b7,http://www.wikidata.org/.well-known/genid/a3bbf2afddc30577eb2d8fcef31435b7,,
http://www.wikidata.org/.well-known/genid/d03b0814e0cff0c93c28ebbfb59a2be4,http://www.wikidata.org/.well-known/genid/d03b0814e0cff0c93c28ebbfb59a2be4,,
http://www.wikidata.org/entity/Q18508515,Master of Monte Oliveto,anonymous 14th century Sienese painter,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20and%20Child%20Enthroned%20MET%20DP368117.jpg
http://www.wikidata.org/entity/Q1706917,Joseph Emanuel Weiser,German painter (1847-1911),http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Weiser%20Selbstbildnis%20an%20der%20Staffelei.jpg
http://www.wikidata.org/entity/Q19277148,Carl Schweninger der Ältere,Austrian artist (1818-1887),
http://www.wikidata.org/entity/Q1349478,Heinrich Breling,German painter (1849-1914),http://commons.wikimedia.org/wiki/Special:FilePath/Breling%20Selbstbildnis%20v%20Staffelei.JPG
http://www.wikidata.org/entity/Q3158924,Joseph-François Schwebach,French painter (1769-1823),http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Fran%C3%A7ois%20Joseph%20Swebach-Desfontaines.jpg
http://www.wikidata.org/entity/Q821537,Karl Friedrich Lessing,German historical and landscape painter (1808-1880),http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Friedrich%20Lessing.jpg
http://www.wikidata.org/entity/Q1357295,Ernst Adolph Meissner,German painter (1837-1902),
http://www.wikidata.org/entity/Q23071929,Karl Sommer,,
http://www.wikidata.org/entity/Q89623,Ludwig Willroider,Austrian painter (1845-1910),http://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Willroider%20gemalt%20von%20Anton%20Gregoritsch%20um%201900%2031082012%20966.jpg
