item;itemLabel;itemDescription;status;altNames;GND;Proveana;VIAF;LCCN;RunDate
http://www.wikidata.org/entity/Q156898;Alma Mahler;Austrian composer, art collector, author, editor, and socialite (1879-1964);Holocaust Aryanization or art restitution case link;Alma Mahler-Werfel, Alma Mahlerova, Alma Mahlerová, Alma Maria Gropius, Alma Maria Groupius, Alma Maria Mahler, Alma Maria Mahler Gropius Werfel, Alma Maria Mahler-Werfel, Alma Schindler Mahler Werfel, Alma Schindler-Mahler, Alma Werfel, Anna Maria Schindler, Alma Gropius, Alma Mahler Welfer, Alma Mahler Werfel;11857633X;;34578412;n50002491;25-janv-24
http://www.wikidata.org/entity/Q18639521;Alois Miedl;German art dealer (1903-1990);ALIU Red Flag;;1212047516;act10000367;1,01616E+21;;25-janv-24
http://www.wikidata.org/entity/Q4735374;Alphonse Kann;French art collector (1870-1948);Holocaust Aryanization or art restitution case link;;129374210;act10004239;70006976;;25-janv-24
http://www.wikidata.org/entity/Q459041;Ambroise Vollard;French art dealer (1866-1939);Holocaust Aryanization or art restitution case link;A. Vollard, Ambrose Vollard, Vollard;118627775;act10001833;29545359;n79117986;25-janv-24
http://www.wikidata.org/entity/Q123053808;André Gabison;French agent in WWII;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q112106532;Andre Louis-Hirsch;French banker and art collector;Holocaust Aryanization or art restitution case link;;;;;;25-janv-24
http://www.wikidata.org/entity/Q69555013;Andre Schoeller;art historian, expert at Hôtel Drouot auction house (1879-1955);ALIU Red Flag;André Charles SCHOELLER, André Schoeller;1153417634;;38562135;n91126579;25-janv-24
http://www.wikidata.org/entity/Q125415510;André Seligmann;French Jewish art dealer (d. 1945);Holocaust Aryanization or art restitution case link;André J. Seligmann;;;;;25-janv-24
http://www.wikidata.org/entity/Q104029475;Andrea Baresel-Brand;art historian;Holocaust Aryanization or art restitution case link;;1170211593;;50135738;no2006103074;25-janv-24
http://www.wikidata.org/entity/Q123054761;Andres Lazaro;art trade WWII;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q123050487;Angel el Saldista;Spanish antiquarian and art dealer;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q62521329;Anna Jaffé;Belgian-French art collector persecuted by Nazis because of Jewish heritage;Holocaust Aryanization or art restitution case link;Anna Emilie Gluge, Anna Emilie Jaffé-Gluge, Anna Jaffé, née Gluge;1164265024;;7,80715E+21;;25-janv-24
http://www.wikidata.org/entity/Q126424038;Anna Posen;German Jewish art collector (1860 - 1944);Holocaust Aryanization or art restitution case link;Amalia Anna Posen, Anna Liebmann;;act00001402;;;25-janv-24
http://www.wikidata.org/entity/Q44966041;Anne-Marie von Tomforde;Member of Paris ERR staff;ALIU Red Flag;Annemarie von Ingram, Annemarie von Tomford, Frau von Ingram, Frl Anne-Marie von Tomforde;;;;;25-janv-24
http://www.wikidata.org/entity/Q118986438;Annie Wolff-Knize;Czech Jewish art collector persecuted by the Nazis (1905-1979);Holocaust Aryanization or art restitution case link;Annie Wolff, Annie Rothmüller;;;;;25-janv-24
http://www.wikidata.org/entity/Q592767;Anton Philips;Dutch Jewish industrialist (1874–1951);Holocaust Aryanization or art restitution case link;Anton Frederik Philips, A.F. Philips;119027097;;67266839;nb2005009978;25-janv-24
http://www.wikidata.org/entity/Q94953574;Armand Dorville;French art collector and lawyer whose art collection was plundered during Nazi occupation (1875–1941);Holocaust Aryanization or art restitution case link;Armand Isaac Dorville;1153429985;;220056097;;25-janv-24
http://www.wikidata.org/entity/Q3622896;Armando Brasini;Italian architect (1879-1965);ALIU Red Flag;;119466651;;27882350;n79047926;25-janv-24
http://www.wikidata.org/entity/Q106814729;Armin Reichmann;Austrian lawyer and art collector killed in Holocaust;Holocaust victim;;;;;;25-janv-24
http://www.wikidata.org/entity/Q565598;Armin von Gerkan;Baltic German classical archaeologist (1885–1969);ALIU Red Flag;;118717049;;25397175;no2001000131;25-janv-24
